"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Apr 27","None","CHC","@","LOU","W",10,0,"None","2-0",1,"None","None","None","None","None",NA,"++","None",1876,0,10,10,0,10,1,0,1,1,NA
"Saturday, Apr 29","None","CHC","@","CIN","W",11,5,"None","3-0",1,"None","None","None","None","None",NA,"+++","None",1876,1,6,21,5,16,2,0,2,1,NA
"Tuesday, May 2","None","CHC","@","CIN","W",15,9,"None","4-0",1,"None","None","None","None","None",NA,"++++","None",1876,1.5,6,36,14,22,3,0,3,1,NA
"Friday, May 5","None","CHC","@","STL","L",0,1,"None","4-1",1,"None","None","None","None","None",NA,"-","None",1876,0.5,-1,36,15,21,3,1,2,0.75,NA
"Monday, May 8","None","CHC","@","STL","W",3,2,"None","5-1",1,"None","None","None","None","None",NA,"+","None",1876,0,1,39,17,22,4,1,3,0.8,NA
"Wednesday, May 10","None","CHC","None","CIN","W",6,0,"None","6-1",1,"None","None","None","None","None",NA,"++","None",1876,0.5,6,45,17,28,5,1,4,0.833333333333333,NA
"Thursday, May 11","None","CHC","None","CIN","W",9,5,"None","7-1",1,"None","None","None","None","None",NA,"+++","None",1876,1,4,54,22,32,6,1,5,0.857142857142857,NA
"Saturday, May 13","None","CHC","None","LOU","W",4,2,"None","8-1",1,"None","None","None","None","None",NA,"++++","None",1876,1,2,58,24,34,7,1,6,0.875,NA
"Tuesday, May 16","None","CHC","None","LOU","W",4,3,"None","9-1",1,"None","None","None","None","None",NA,"+++++","None",1876,1,1,62,27,35,8,1,7,0.888888888888889,NA
"Friday, May 19","None","CHC","None","STL","L",1,4,"None","9-2",2,"None","None","None","None","None",NA,"-","None",1876,-0.5,-3,63,31,32,8,2,6,0.8,NA
"Saturday, May 20","None","CHC","None","STL","W",6,3,"None","10-2",1,"None","None","None","None","None",NA,"+","None",1876,0,3,69,34,35,9,2,7,0.818181818181818,NA
"Tuesday, May 23","None","CHC","@","HAR","W",6,4,"None","11-2",1,"None","None","None","None","None",NA,"++","None",1876,1,2,75,38,37,10,2,8,0.833333333333333,NA
"Thursday, May 25","None","CHC","@","HAR","L",1,4,"None","11-3",1,"None","None","None","None","None",NA,"-","None",1876,0,-3,76,42,34,10,3,7,0.769230769230769,NA
"Saturday, May 27","None","CHC","@","HAR","W",8,1,"None","12-3",1,"None","None","None","None","None",NA,"+","None",1876,1,7,84,43,41,11,3,8,0.785714285714286,NA
"Tuesday, May 30","None","CHC","@","BSN","W",5,1,"None","13-3",1,"None","None","None","None","None",NA,"++","None",1876,1,4,89,44,45,12,3,9,0.8,NA
"Thursday, Jun 1","None","CHC","@","BSN","W",9,3,"None","14-3",1,"None","None","None","None","None",NA,"+++","None",1876,2,6,98,47,51,13,3,10,0.8125,NA
"Saturday, Jun 3","None","CHC","@","BSN","W",8,4,"None","15-3",1,"None","None","None","None","None",NA,"++++","None",1876,2,4,106,51,55,14,3,11,0.823529411764706,NA
"Tuesday, Jun 6","None","CHC","@","ATH","W",7,0,"None","16-3",1,"None","None","None","None","None",NA,"+++++","None",1876,2,7,113,51,62,15,3,12,0.833333333333333,NA
"Thursday, Jun 8","None","CHC","@","ATH","W",8,7,"None","17-3",1,"None","None","None","None","None",NA,"++++++","None",1876,2,1,121,58,63,16,3,13,0.842105263157895,NA
"Saturday, Jun 10","None","CHC","@","ATH","W",14,4,"None","18-3",1,"None","None","None","None","None",NA,"+++++++","None",1876,2,10,135,62,73,17,3,14,0.85,NA
"Tuesday, Jun 13","None","CHC","@","NYU","W",5,1,"None","19-3",1,"None","None","None","None","None",NA,"++++++++","None",1876,2,4,140,63,77,18,3,15,0.857142857142857,NA
"Thursday, Jun 15","None","CHC","@","NYU","L",5,6,"None","19-4",1,"None","None","None","None","None",NA,"-","None",1876,1,-1,145,69,76,18,4,14,0.818181818181818,NA
"Saturday, Jun 17","None","CHC","@","NYU","W",10,3,"None","20-4",1,"None","None","None","None","None",NA,"+","None",1876,1,7,155,72,83,19,4,15,0.826086956521739,NA
"Tuesday, Jun 20","None","CHC","None","NYU","W",4,2,"None","21-4",1,"None","None","None","None","None",NA,"++","None",1876,1.5,2,159,74,85,20,4,16,0.833333333333333,NA
"Thursday, Jun 22","None","CHC","None","NYU","W",6,4,"None","22-4",1,"None","None","None","None","None",NA,"+++","None",1876,1.5,2,165,78,87,21,4,17,0.84,NA
"Saturday, Jun 24","None","CHC","None","NYU","W",16,2,"None","23-4",1,"None","None","None","None","None",NA,"++++","None",1876,2.5,14,181,80,101,22,4,18,0.846153846153846,NA
"Tuesday, Jun 27","None","CHC","None","ATH","L",13,14,"None","23-5",1,"None","None","None","None","None",NA,"-","None",1876,1,-1,194,94,100,22,5,17,0.814814814814815,NA
"Thursday, Jun 29","None","CHC","None","ATH","W",19,3,"None","24-5",1,"None","None","None","None","None",NA,"+","None",1876,1,16,213,97,116,23,5,18,0.821428571428571,NA
"Saturday, Jul 1","None","CHC","None","ATH","W",18,10,"None","25-5",1,"None","None","None","None","None",NA,"++","None",1876,1.5,8,231,107,124,24,5,19,0.827586206896552,NA
"Tuesday, Jul 4","None","CHC","None","HAR","L",0,3,"None","25-6",1,"None","None","None","None","None",NA,"-","None",1876,0.5,-3,231,110,121,24,6,18,0.8,NA
"Thursday, Jul 6","None","CHC","None","HAR","L",2,6,"None","25-7",2,"None","None","None","None","None",NA,"--","None",1876,-0.5,-4,233,116,117,24,7,17,0.774193548387097,NA
"Saturday, Jul 8","None","CHC","None","HAR","W",9,3,"None","26-7",1,"None","None","None","None","None",NA,"+","None",1876,0.5,6,242,119,123,25,7,18,0.78125,NA
"Tuesday, Jul 11","None","CHC","None","BSN","W",18,7,"None","27-7",1,"None","None","None","None","None",NA,"++","None",1876,1.5,11,260,126,134,26,7,19,0.787878787878788,NA
"Thursday, Jul 13","None","CHC","None","BSN","W",11,3,"None","28-7",1,"None","None","None","None","None",NA,"+++","None",1876,2.5,8,271,129,142,27,7,20,0.794117647058823,NA
"Saturday, Jul 15","None","CHC","None","BSN","W",15,0,"None","29-7",1,"None","None","None","None","None",NA,"++++","None",1876,3.5,15,286,129,157,28,7,21,0.8,NA
"Tuesday, Jul 18","None","CHC","None","LOU","W",9,5,"None","30-7",1,"None","None","None","None","None",NA,"+++++","None",1876,4,4,295,134,161,29,7,22,0.805555555555556,NA
"Thursday, Jul 20","None","CHC","None","LOU","W",18,0,"None","31-7",1,"None","None","None","None","None",NA,"++++++","None",1876,4.5,18,313,134,179,30,7,23,0.810810810810811,NA
"Saturday, Jul 22","None","CHC","None","LOU","W",30,7,"None","32-7",1,"None","None","None","None","None",NA,"+++++++","None",1876,5,23,343,141,202,31,7,24,0.815789473684211,NA
"Tuesday, Jul 25","None","CHC","None","CIN","W",23,3,"None","33-7",1,"None","None","None","None","None",NA,"++++++++","None",1876,5.5,20,366,144,222,32,7,25,0.82051282051282,NA
"Thursday, Jul 27","None","CHC","None","CIN","W",17,3,"None","34-7",1,"None","None","None","None","None",NA,"+++++++++","None",1876,6,14,383,147,236,33,7,26,0.825,NA
"Saturday, Jul 29","None","CHC","None","CIN","W",9,2,"None","35-7",1,"None","None","None","None","None",NA,"++++++++++","None",1876,6.5,7,392,149,243,34,7,27,0.829268292682927,NA
"Tuesday, Aug 1","None","CHC","@","LOU","W",15,7,"None","36-7",1,"None","None","None","None","None",NA,"+++++++++++","None",1876,6.5,8,407,156,251,35,7,28,0.833333333333333,NA
"Saturday, Aug 5","None","CHC","@","LOU","L",2,4,"None","36-8",1,"None","None","None","None","None",NA,"-","None",1876,6,-2,409,160,249,35,8,27,0.813953488372093,NA
"Monday, Aug 7","None","CHC","@","LOU","W",9,2,"None","37-8",1,"None","None","None","None","None",NA,"+","None",1876,7,7,418,162,256,36,8,28,0.818181818181818,NA
"Tuesday, Aug 8","None","CHC","@","CIN","W",13,3,"None","38-8",1,"None","None","None","None","None",NA,"++","None",1876,7,10,431,165,266,37,8,29,0.822222222222222,NA
"Thursday, Aug 10","None","CHC","@","CIN","W",6,0,"None","39-8",1,"None","None","None","None","None",NA,"+++","None",1876,7,6,437,165,272,38,8,30,0.826086956521739,NA
"Saturday, Aug 12","None","CHC","@","CIN","W",5,0,"None","40-8",1,"None","None","None","None","None",NA,"++++","None",1876,7.5,5,442,165,277,39,8,31,0.829787234042553,NA
"Tuesday, Aug 15","None","CHC","@","STL","L",3,6,"None","40-9",1,"None","None","None","None","None",NA,"-","None",1876,6.5,-3,445,171,274,39,9,30,0.8125,NA
"Thursday, Aug 17","None","CHC","@","STL","L",0,3,"None","40-10",1,"None","None","None","None","None",NA,"--","None",1876,6,-3,445,174,271,39,10,29,0.795918367346939,NA
"Monday, Aug 21","None","CHC","@","STL","*H",6,7,"None","40-11",1,"None","None","None","None","None",NA,"---","None",1876,5,-1,451,181,270,40,11,29,0.784313725490196,NA
"Tuesday, Aug 22","None","CHC","None","STL","W",12,2,"None","41-11",1,"None","None","None","None","None",NA,"+","None",1876,6,10,463,183,280,41,11,30,0.788461538461538,NA
"Friday, Aug 25","None","CHC","None","STL","L",6,8,"None","41-12",1,"None","None","None","None","None",NA,"-","None",1876,5,-2,469,191,278,41,12,29,0.773584905660377,NA
"Saturday, Aug 26","None","CHC","None","STL","W",23,3,"None","42-12",1,"None","None","None","None","None",NA,"+","None",1876,6,20,492,194,298,42,12,30,0.777777777777778,NA
"Tuesday, Sep 5","None","CHC","@","ATH","W",11,5,"None","43-12",1,"None","None","None","None","None",NA,"++","None",1876,6,6,503,199,304,43,12,31,0.781818181818182,NA
"Wednesday, Sep 6","None","CHC","@","ATH","W",15,3,"None","44-12",1,"None","None","None","None","None",NA,"+++","None",1876,6,12,518,202,316,44,12,32,0.785714285714286,NA
"Friday, Sep 8","None","CHC","@","NYU","W",16,0,"None","45-12",1,"None","None","None","None","None",NA,"++++","None",1876,6,16,534,202,332,45,12,33,0.789473684210526,NA
"Saturday, Sep 9","None","CHC","@","NYU","W",13,4,"None","46-12",1,"None","None","None","None","None",NA,"+++++","None",1876,6,9,547,206,341,46,12,34,0.793103448275862,NA
"Tuesday, Sep 12","None","CHC","@","HAR","L",7,8,"None","46-13",1,"None","None","None","None","None",NA,"-","None",1876,5,-1,554,214,340,46,13,33,0.779661016949153,NA
"Wednesday, Sep 13","None","CHC","@","HAR","W",6,2,"None","47-13",1,"None","None","None","None","None",NA,"+","None",1876,6,4,560,216,344,47,13,34,0.783333333333333,NA
"Friday, Sep 15","None","CHC","@","BSN","W",9,3,"None","48-13",1,"None","None","None","None","None",NA,"++","None",1876,6,6,569,219,350,48,13,35,0.786885245901639,NA
"Saturday, Sep 16","None","CHC","@","BSN","W",7,2,"None","49-13",1,"None","None","None","None","None",NA,"+++","None",1876,6,5,576,221,355,49,13,36,0.790322580645161,NA
"Friday, Sep 22","None","CHC","None","BSN","W",12,10,"None","50-13",1,"None","None","None","None","None",NA,"++++","None",1876,6.5,2,588,231,357,50,13,37,0.793650793650794,NA
"Saturday, Sep 23","None","CHC","None","BSN","L",9,10,"None","50-14",1,"None","None","None","None","None",NA,"-","None",1876,6,-1,597,241,356,50,14,36,0.78125,NA
"Tuesday, Sep 26","None","CHC","None","HAR","W",7,6,"None","51-14",1,"None","None","None","None","None",NA,"+","None",1876,6.5,1,604,247,357,51,14,37,0.784615384615385,NA
"Wednesday, Sep 27","None","CHC","None","HAR","W",16,10,"None","52-14",1,"None","None","None","None","None",NA,"++","None",1876,7,6,620,257,363,52,14,38,0.787878787878788,NA
"Thursday, May 10","None","CHC","None","HAR","L",10,14,"None","1-1",3,"None","None","None","None","None",NA,"-","None",1877,-1,-4,10,14,-4,0,1,-1,0,NA
"Saturday, May 12","None","CHC","None","BSN","L",9,18,"None","1-2",5,"None","None","None","None","None",NA,"--","None",1877,-1.5,-9,19,32,-13,0,2,-2,0,NA
"Wednesday, May 16","None","CHC","None","BSN","L",0,1,"None","1-3",6,"None","None","None","None","None",NA,"---","1877-05-15 (Rain)",1877,-2.5,-1,19,33,-14,0,3,-3,0,NA
"Thursday, May 17","None","CHC","None","STL","L",2,3,"None","1-4",6,"None","None","None","None","None",NA,"----","None",1877,-3.5,-1,21,36,-15,0,4,-4,0,NA
"Saturday, May 19","None","CHC","None","STL","W",7,1,"None","2-4",5,"None","None","None","None","None",NA,"+","None",1877,-2.5,6,28,37,-9,1,4,-3,0.2,NA
"Tuesday, May 22","None","CHC","@","STL","W",4,2,"None","3-4",4,"None","None","None","None","None",NA,"++","None",1877,-2.5,2,32,39,-7,2,4,-2,0.333333333333333,NA
"Thursday, May 24","None","CHC","@","STL","L",2,6,"None","3-5",5,"None","None","None","None","None",NA,"-","None",1877,-3,-4,34,45,-11,2,5,-3,0.285714285714286,NA
"Saturday, May 26","None","CHC","@","CIN","W",12,7,"None","4-5",4,"None","None","None","None","None",NA,"+","None",1877,-2.5,5,46,52,-6,3,5,-2,0.375,NA
"Wednesday, May 30","None","CHC","@","CIN","L",4,5,"None","4-6",5,"None","None","None","None","None",NA,"-","None",1877,-3,-1,50,57,-7,3,6,-3,0.333333333333333,NA
"Thursday, May 31","None","CHC","@","LOU","L",1,3,"None","4-7",5,"None","None","None","None","None",NA,"--","None",1877,-3.5,-2,51,60,-9,3,7,-4,0.3,NA
"Saturday, Jun 2","None","CHC","@","LOU","L",2,9,"None","4-8",5,"None","None","None","None","None",NA,"---","None",1877,-4.5,-7,53,69,-16,3,8,-5,0.272727272727273,NA
"Tuesday, Jun 5","None","CHC","None","CIN","W",12,5,"None","5-8",5,"None","None","None","None","None",NA,"+","None",1877,-4.5,7,65,74,-9,4,8,-4,0.333333333333333,NA
"Thursday, Jun 7","None","CHC","None","CIN","W",11,6,"None","6-8",5,"None","None","None","None","None",NA,"++","None",1877,-4,5,76,80,-4,5,8,-3,0.384615384615385,NA
"Monday, Jun 11","None","CHC","None","LOU","L",4,5,"None","6-9",5,"None","None","None","None","None",NA,"-","1877-06-09 (Wet grounds)",1877,-4,-1,80,85,-5,5,9,-4,0.357142857142857,NA
"Tuesday, Jun 12","None","CHC","None","LOU","W",3,1,"None","7-9",5,"None","None","None","None","None",NA,"+","None",1877,-3.5,2,83,86,-3,6,9,-3,0.4,NA
"Saturday, Jun 16","None","CHC","@","BSN","L",6,7,"None","7-10",5,"None","None","None","None","None",NA,"-","None",1877,-4,-1,89,93,-4,6,10,-4,0.375,NA
"Monday, Jun 18","None","CHC","@","BSN","L",7,9,"None","7-11",5,"None","None","None","None","None",NA,"--","None",1877,-5,-2,96,102,-6,6,11,-5,0.352941176470588,NA
"Tuesday, Jun 19","None","CHC","@","HAR","L",1,13,"None","7-12",5,"None","None","None","None","None",NA,"---","None",1877,-6,-12,97,115,-18,6,12,-6,0.333333333333333,NA
"Thursday, Jun 21","None","CHC","@","HAR","L",0,6,"None","7-13",5,"None","None","None","None","None",NA,"----","None",1877,-6,-6,97,121,-24,6,13,-7,0.315789473684211,NA
"Tuesday, Jun 26","None","CHC","None","STL","W",11,0,"None","8-13",5,"None","None","None","None","None",NA,"+","None",1877,-5.5,11,108,121,-13,7,13,-6,0.35,NA
"Thursday, Jun 28","None","CHC","None","STL","W",6,2,"None","9-13",5,"None","None","None","None","None",NA,"++","None",1877,-5,4,114,123,-9,8,13,-5,0.380952380952381,NA
"Monday, Jul 2","None","CHC","@","STL","W",5,2,"None","10-13",5,"None","None","None","None","None",NA,"+++","None",1877,-5,3,119,125,-6,9,13,-4,0.409090909090909,NA
"Tuesday, Jul 3","None","CHC","@","STL","L",5,9,"None","10-14",5,"None","None","None","None","None",NA,"-","1877-06-30 (Rain)",1877,-5.5,-4,124,134,-10,9,14,-5,0.391304347826087,NA
"Wednesday, Jul 4","None","CHC","None","BSN","W",12,2,"None","11-14",5,"None","None","None","None","None",NA,"+","None",1877,-4.5,10,136,136,0,10,14,-4,0.416666666666667,NA
"Friday, Jul 13","None","CHC","None","HAR","W",6,3,"None","12-14",5,"None","None","None","None","None",NA,"++","None",1877,-4.5,3,142,139,3,11,14,-3,0.44,NA
"Saturday, Jul 14","None","CHC","None","HAR","L",4,9,"None","12-15",5,"None","None","None","None","None",NA,"-","None",1877,-4.5,-5,146,148,-2,11,15,-4,0.423076923076923,NA
"Monday, Jul 16","None","CHC","None","BSN","L",3,8,"None","12-16",5,"None","None","None","None","None",NA,"--","1877-07-05 (Rain)",1877,-5.5,-5,149,156,-7,11,16,-5,0.407407407407407,NA
"Tuesday, Jul 17","None","CHC","None","BSN","L",5,6,"None","12-17",5,"None","None","None","None","None",NA,"---","None",1877,-6.5,-1,154,162,-8,11,17,-6,0.392857142857143,NA
"Wednesday, Jul 18","None","CHC","None","BSN","L",4,18,"None","12-18",5,"None","None","None","None","None",NA,"----","None",1877,-7.5,-14,158,180,-22,11,18,-7,0.379310344827586,NA
"Thursday, Jul 26","None","CHC","None","HAR","W",7,1,"None","13-18",5,"None","None","None","None","None",NA,"+","None",1877,-6.5,6,165,181,-16,12,18,-6,0.4,NA
"Tuesday, Jul 31","None","CHC","@","CIN","L",1,9,"None","13-19",5,"None","None","None","None","None",NA,"-","None",1877,-7.5,-8,166,190,-24,12,19,-7,0.387096774193548,NA
"Thursday, Aug 2","None","CHC","@","CIN","W",15,1,"None","14-19",5,"None","None","None","None","None",NA,"+","None",1877,-7.5,14,181,191,-10,13,19,-6,0.40625,NA
"Saturday, Aug 4","None","CHC","@","LOU","L",9,15,"None","14-20",5,"None","None","None","None","None",NA,"-","None",1877,-8.5,-6,190,206,-16,13,20,-7,0.393939393939394,NA
"Monday, Aug 6","None","CHC","@","LOU","W",7,2,"None","15-20",5,"None","None","None","None","None",NA,"+","None",1877,-7.5,5,197,208,-11,14,20,-6,0.411764705882353,NA
"Tuesday, Aug 7","None","CHC","None","CIN","W",21,7,"None","16-20",5,"None","None","None","None","None",NA,"++","None",1877,-7.5,14,218,215,3,15,20,-5,0.428571428571429,NA
"Thursday, Aug 9","None","CHC","None","CIN","W",13,9,"None","17-20",4,"None","None","None","None","None",NA,"+++","None",1877,-7.5,4,231,224,7,16,20,-4,0.444444444444444,NA
"Saturday, Aug 11","None","CHC","None","LOU","L",5,7,"None","17-21",5,"None","None","None","None","None",NA,"-","None",1877,-8.5,-2,236,231,5,16,21,-5,0.432432432432432,NA
"Monday, Aug 13","None","CHC","None","LOU","L",2,8,"None","17-22",5,"None","None","None","None","None",NA,"--","None",1877,-9.5,-6,238,239,-1,16,22,-6,0.421052631578947,NA
"Friday, Aug 17","None","CHC","None","STL","W",12,6,"None","18-22",5,"None","None","None","None","None",NA,"+","1877-08-16 (Unknown reason)",1877,-8.5,6,250,245,5,17,22,-5,0.435897435897436,NA
"Saturday, Aug 18","None","CHC","None","STL","W",4,3,"None","19-22",5,"None","None","None","None","None",NA,"++","None",1877,-8,1,254,248,6,18,22,-4,0.45,NA
"Friday, Aug 24","None","CHC","@","STL","W",4,3,"None","20-22",5,"None","None","None","None","None",NA,"+++","1877-08-23 (Unknown reason)",1877,-6.5,1,258,251,7,19,22,-3,0.463414634146341,NA
"Saturday, Aug 25","None","CHC","@","STL","L",8,12,"None","20-23",5,"None","None","None","None","None",NA,"-","None",1877,-6.5,-4,266,263,3,19,23,-4,0.452380952380952,NA
"Tuesday, Sep 4","None","CHC","@","HAR","L",1,7,"None","20-24",5,"None","None","None","None","None",NA,"--","None",1877,-10,-6,267,270,-3,19,24,-5,0.441860465116279,NA
"Saturday, Sep 8","None","CHC","@","BSN","W",1,0,"None","21-24",5,"None","None","None","None","None",NA,"+","None",1877,-9.5,1,268,270,-2,20,24,-4,0.454545454545455,NA
"Tuesday, Sep 11","None","CHC","@","BSN","L",9,11,"None","21-25",5,"None","None","None","None","None",NA,"-","None",1877,-10.5,-2,277,281,-4,20,25,-5,0.444444444444444,NA
"Friday, Sep 14","None","CHC","@","HAR","L",2,5,"None","21-26",5,"None","None","None","None","None",NA,"--","1877-09-06 (Unknown reason)",1877,-11.5,-3,279,286,-7,20,26,-6,0.434782608695652,NA
"Saturday, Sep 15","None","CHC","@","HAR","W",4,3,"None","22-26",5,"None","None","None","None","None",NA,"+","None",1877,-11.5,1,283,289,-6,21,26,-5,0.446808510638298,NA
"Monday, Sep 17","None","CHC","@","BSN","L",5,13,"None","22-27",5,"None","None","None","None","None",NA,"-","1877-09-18 (Unknown reason)",1877,-12.5,-8,288,302,-14,21,27,-6,0.4375,NA
"Thursday, Sep 20","None","CHC","@","BSN","L",1,7,"None","22-28",5,"None","None","None","None","None",NA,"--","None",1877,-13.5,-6,289,309,-20,21,28,-7,0.428571428571429,NA
"Friday, Sep 21","None","CHC","@","HAR","L",3,11,"None","22-29",5,"None","None","None","None","None",NA,"---","1877-09-13 (Unknown reason)",1877,-14,-8,292,320,-28,21,29,-8,0.42,NA
"Saturday, Sep 22","None","CHC","@","HAR","L",9,11,"None","22-30",5,"None","None","None","None","None",NA,"----","1877-07-28 (Rain; Site change; Played at NEW; HAR home team)",1877,-14.5,-2,301,331,-30,21,30,-9,0.411764705882353,NA
"Wednesday, Sep 26","None","CHC","@","LOU","W",9,6,"None","23-30",5,"None","None","None","None","None",NA,"+","None",1877,-14.5,3,310,337,-27,22,30,-8,0.423076923076923,NA
"Thursday, Sep 27","None","CHC","@","LOU","L",8,9,"None","23-31",5,"None","None","None","None","None",NA,"-","1877-09-24 (Unknown reason)",1877,-15.5,-1,318,346,-28,22,31,-9,0.415094339622642,NA
"Friday, Sep 28","None","CHC","@","CIN","T",5,5,"None","23-31",5,"None","None","None","None","None",NA,"-","1877-09-27 (Unknown reason)",1877,-15.5,0,323,351,-28,23,32,-9,0.418181818181818,NA
"Saturday, Sep 29","None","CHC","@","CIN","L",10,11,"None","23-32",5,"None","None","None","None","None",NA,"--","None",1877,-16.5,-1,333,362,-29,23,33,-10,0.410714285714286,NA
"Monday, Oct 1","None","CHC","None","CIN","W",10,3,"None","24-32",5,"None","None","None","None","None",NA,"+","None",1877,-16,7,343,365,-22,24,33,-9,0.421052631578947,NA
"Tuesday, Oct 2","None","CHC","None","CIN","W",13,1,"None","25-32",5,"None","None","None","None","None",NA,"++","1877-10-03 (Unknown reason)",1877,-15.5,12,356,366,-10,25,33,-8,0.431034482758621,NA
"Friday, Oct 5","None","CHC","None","LOU","L",0,4,"None","25-33",5,"None","None","None","None","None",NA,"-","None",1877,-16,-4,356,370,-14,25,34,-9,0.423728813559322,NA
"Saturday, Oct 6","None","CHC","None","LOU","W",4,0,"None","26-33",5,"None","None","None","None","None",NA,"+","None",1877,-15.5,4,360,370,-10,26,34,-8,0.433333333333333,NA
"Saturday, May 4","None","CHC","@","IND","W",4,1,"None","2-0",2,"None","None","None","None","None",NA,"++","None",1878,-0.5,3,4,1,3,1,0,1,1,NA
"Monday, May 6","None","CHC","@","IND","W",3,1,"None","3-0",1,"None","None","None","None","None",NA,"+++","1878-05-02 (Unknown reason)",1878,0,2,7,2,5,2,0,2,1,NA
"Tuesday, May 7","None","CHC","@","CIN","L",3,4,"None","3-1",2,"None","None","None","None","None",NA,"-","None",1878,-1,-1,10,6,4,2,1,1,0.666666666666667,NA
"Thursday, May 9","None","CHC","@","CIN","L",1,9,"None","3-2",2,"None","None","None","None","None",NA,"--","None",1878,-2,-8,11,15,-4,2,2,0,0.5,NA
"Saturday, May 11","None","CHC","@","CIN","L",1,4,"None","3-3",2,"None","None","None","None","None",NA,"---","None",1878,-3,-3,12,19,-7,2,3,-1,0.4,NA
"Tuesday, May 14","None","CHC","None","IND","L",3,5,"None","3-4",4,"None","None","None","None","None",NA,"----","None",1878,-3,-2,15,24,-9,2,4,-2,0.333333333333333,NA
"Thursday, May 16","None","CHC","None","IND","L",8,13,"None","3-5",5,"None","None","None","None","None",NA,"-----","None",1878,-3,-5,23,37,-14,2,5,-3,0.285714285714286,NA
"Monday, May 20","None","CHC","None","IND","W",3,1,"None","4-5",4,"None","None","None","None","None",NA,"+","1878-05-18 (Rain)",1878,-3,2,26,38,-12,3,5,-2,0.375,NA
"Tuesday, May 21","None","CHC","None","CIN","L",2,13,"None","4-6",5,"None","None","None","None","None",NA,"-","None",1878,-4,-11,28,51,-23,3,6,-3,0.333333333333333,NA
"Thursday, May 23","None","CHC","None","CIN","L",3,7,"None","4-7",5,"None","None","None","None","None",NA,"--","None",1878,-5,-4,31,58,-27,3,7,-4,0.3,NA
"Saturday, May 25","None","CHC","None","CIN","L",8,10,"None","4-8",5,"None","None","None","None","None",NA,"---","None",1878,-6,-2,39,68,-29,3,8,-5,0.272727272727273,NA
"Tuesday, May 28","None","CHC","@","BSN","L",1,10,"None","4-9",6,"None","None","None","None","None",NA,"----","None",1878,-6,-9,40,78,-38,3,9,-6,0.25,NA
"Saturday, Jun 1","None","CHC","@","BSN","W",3,2,"None","5-9",5,"None","None","None","None","None",NA,"+","None",1878,-5.5,1,43,80,-37,4,9,-5,0.307692307692308,NA
"Monday, Jun 3","None","CHC","@","BSN","W",3,2,"None","6-9",5,"None","None","None","None","None",NA,"++","1878-05-30 (Rain)",1878,-5,1,46,82,-36,5,9,-4,0.357142857142857,NA
"Tuesday, Jun 4","None","CHC","@","PRO","W",2,1,"None","7-9",4,"None","None","None","None","None",NA,"+++","None",1878,-4,1,48,83,-35,6,9,-3,0.4,NA
"Thursday, Jun 6","None","CHC","@","PRO","W",17,10,"None","8-9",4,"None","None","None","None","None",NA,"++++","None",1878,-4,7,65,93,-28,7,9,-2,0.4375,NA
"Wednesday, Jun 12","None","CHC","None","MLG","W",1,0,"None","9-9",3,"None","None","None","None","None",NA,"+++++","1878-06-11 (Unknown reason)",1878,-3.5,1,66,93,-27,8,9,-1,0.470588235294118,NA
"Thursday, Jun 13","None","CHC","None","MLG","L",0,2,"None","9-10",3,"None","None","None","None","None",NA,"-","None",1878,-4.5,-2,66,95,-29,8,10,-2,0.444444444444444,NA
"Saturday, Jun 15","None","CHC","None","MLG","W",12,2,"None","10-10",3,"None","None","None","None","None",NA,"+","None",1878,-5,10,78,97,-19,9,10,-1,0.473684210526316,NA
"Tuesday, Jun 18","None","CHC","@","MLG","L",5,7,"None","10-11",3,"None","None","None","None","None",NA,"-","None",1878,-5,-2,83,104,-21,9,11,-2,0.45,NA
"Thursday, Jun 20","None","CHC","@","MLG","W",9,7,"None","11-11",3,"None","None","None","None","None",NA,"+","None",1878,-4,2,92,111,-19,10,11,-1,0.476190476190476,NA
"Saturday, Jun 22","None","CHC","@","MLG","W",14,3,"None","12-11",3,"None","None","None","None","None",NA,"++","None",1878,-3.5,11,106,114,-8,11,11,0,0.5,NA
"Tuesday, Jun 25","None","CHC","None","BSN","L",2,7,"None","12-12",3,"None","None","None","None","None",NA,"-","None",1878,-4.5,-5,108,121,-13,11,12,-1,0.478260869565217,NA
"Thursday, Jun 27","None","CHC","None","BSN","W",16,5,"None","13-12",3,"None","None","None","None","None",NA,"+","None",1878,-3.5,11,124,126,-2,12,12,0,0.5,NA
"Saturday, Jun 29","None","CHC","None","BSN","W",9,5,"None","14-12",3,"None","None","None","None","None",NA,"++","None",1878,-2.5,4,133,131,2,13,12,1,0.52,NA
"Tuesday, Jul 2","None","CHC","None","PRO","L",7,11,"None","14-13",3,"None","None","None","None","None",NA,"-","None",1878,-3.5,-4,140,142,-2,13,13,0,0.5,NA
"Thursday, Jul 4","None","CHC","None","PRO","W",15,7,"None","15-13",3,"None","None","None","None","None",NA,"+","None",1878,-3.5,8,155,149,6,14,13,1,0.518518518518518,NA
